created_at,label,category,tokenization,full_text,id_str,favorite_count,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
Tue May 14 05:13:02 +0000 2024,1.0,neutral,"['lapor', 'giat', 'pri', 'fpi', 'di', 'lokasi', 'banjir', 'bandang', 'sumbar', '1', 'data', 'amp', 'koordinasi', 'dg', 'wali', 'nagari', '2', 'laku', 'goro', 'bersih', 'rumah', 'ibadah', 'dll', '3', 'salur', 'bantu', 'dari', 'jemaah', 'amp', 'remaja', 'masjid', 'jam', 'birugo', 'ke', 'posko', 'galuang', 'sebyk', '4', 'mobil', '4', 'sisir', 'korban', 'yg', 'blm', 'temu', 'httpstcokyjcayvruv']",laporan kegiatan pri fpi di lokasi banjir bandang sumbar 1 pendataan amp koordinasi dg wali nagari 2 melakukan goro pembersihan rumah ibadah dll 3 menyalurkan bantuan dari jemaah amp remaja masjid jami birugo ke posko galuang sebyk 4 mobil 4 penyisiran korban yg blm ditemukan https tcokyjcayvruv,1790248937670217986,10,https://pbs.twimg.com/ext_tw_video_thumb/1790248623806259200/pu/img/H2jo6IZcjQMdqrHY.jpg,,in,,0,0,3,https://twitter.com/Zer0Failed/status/1790248937670217986,1629291797250998272,Zer0Failed
Tue May 14 05:11:20 +0000 2024,1.0,neutral,"['tengok', 'kondisi', 'ungsi', 'banjir', 'bandang', 'di', 'bukik', 'batabuah', 'agam', 'via', 'infosumbar', 'httpstcoc9bel6jeuf', 'infosumbar', 'ungsi', 'banjirbandang']",menengok kondisi pengungsian banjir bandang di bukik batabuah agam via infosumbar https tcoc9bel6jeuf infosumbar pengungsian banjirbandang,1790248507938623858,0,,,in,"Kota Padang, Sumatera Barat",0,0,0,https://twitter.com/infoSumbar/status/1790248507938623858,162721676,infoSumbar
Tue May 14 05:11:17 +0000 2024,1.0,shelter,"['hanya', 'sisa', 'pondasi', 'jhoni', 'wismar', 'tetap', 'kumpul', 'puing', 'rumah', 'pasca', 'banjir', 'bandang', 'agam', 'sumbar', 'prayforsumbar', 'httpstconhdsews0g3', 'lewat', 'tribunnews']",hanya sisa pondasi jhoni wismar tetap kumpulkan puing rumah pasca banjir bandang agam sumbar prayforsumbar https tconhdsews0g3 lewat tribunnews,1790248497889108137,0,,,in,,0,0,0,https://twitter.com/tribunpadangcom/status/1790248497889108137,1058656201645289473,tribunpadangcom
Tue May 14 05:06:36 +0000 2024,1.0,neutral,"['update', 'korban', 'banjir', 'bandang', 'sumbar', 'bnpb', '50', 'tinggal', '27', 'hilang', 'badan', 'nasional', 'tanggulang', 'bencana', 'bnpb', 'ikan', 'update', 'korban', 'dampak', 'banjir', 'bandang', 'di', 'sumatera', 'barat', 'sumbar', 'lapor', 'ada', '50', 'orang', 'tinggal', 'dunia', 'httpstcouq3hbzipvo', 'httpstcoaa7il5ihtx']",update korban banjir bandang sumbar bnpb 50 meninggal 27 hilang badan nasional penanggulangan bencana bnpb berikan update korban terdampak banjir bandang di sumatera barat sumbar dilaporkan ada 50 orang meninggal dunia https tcouq3hbzipvo https tcoaa7il5ihtx,1790247319339991374,0,https://pbs.twimg.com/media/GNg8c0waUAA9sP4.jpg,,in,"Pulo Gadung, Indonesia",0,0,1,https://twitter.com/tvOneNews/status/1790247319339991374,55507370,tvOneNews
Tue May 14 05:00:00 +0000 2024,1.0,neutral,"['jumlah', 'daerah', 'di', 'sumatera', 'barat', 'sumbar', 'porak', 'poranda', 'akibat', 'bencana', 'banjir', 'bandang', 'sejak', 'sabtu', '1152024', 'bencana', 'sebut', 'juga', 'tewas', '44', 'orang', 'httpstcogpwipxiduc', 'prayforsumbar', 'sumbar', 'agam', 'banjir', 'gunungmarapi', 'httpstconbi81fb7ic']",sejumlah daerah di sumatera barat sumbar porak poranda akibat bencana banjir bandang sejak sabtu 1152024 bencana tersebut juga menewaskan 44 orang https tcogpwipxiduc prayforsumbar sumbar agam banjir gunungmarapi https tconbi81fb7ic,1790245658290778449,0,https://pbs.twimg.com/media/GNeo2tLaMAElTUL.jpg,,in,"DKI Jakarta, Indonesia",0,0,0,https://twitter.com/_rakyatmerdeka/status/1790245658290778449,1474011848118657029,_rakyatmerdeka
Tue May 14 04:57:12 +0000 2024,1.0,neutral,"['pray', 'sumbar', 'banjir', 'bandang', 'terjang', '4', 'kabupaten', 'di', 'sumbar', '41', 'orang', 'tewas', 'garudatv', 'laporan8', 'sumbar', 'banjirbandang', 'httpstcosbyo6mejki']",pray sumbar banjir bandang terjang 4 kabupaten di sumbar 41 orang tewas garudatv laporan8 sumbar banjirbandang https tcosbyo6mejki,1790244950736785904,0,https://pbs.twimg.com/ext_tw_video_thumb/1790241773857677313/pu/img/fEKaR0P9tcq98PMp.jpg,,in,Indonesia,0,0,0,https://twitter.com/garudatvnews/status/1790244950736785904,502140136,garudatvnews
Tue May 14 04:37:53 +0000 2024,1.0,neutral,"['tragis', 'banjir', 'bandang', 'sumbar', 'di', 'nagari', 'parambahan', 'tanah', 'datar', '8', 'orang', 'tinggal', 'dan', '1', 'orang', 'belum', 'temu', 'httpstco5mavg73cel', 'httpstcobql57okdnn']",tragisnya banjir bandang sumbar di nagari parambahan tanah datar 8 orang meninggal dan 1 orang belum ditemukan https tco5mavg73cel https tcobql57okdnn,1790240090289283475,0,https://pbs.twimg.com/media/GNg1sTTbkAERkK_.jpg,,in,,0,0,0,https://twitter.com/tribunpadangcom/status/1790240090289283475,1058656201645289473,tribunpadangcom
Tue May 14 04:35:26 +0000 2024,1.0,neutral,"['bnpb', 'banjir', 'bandang', 'sumbar', 'bencana', '20', 'tahun', 'httpstcok2hbwerbqr']",bnpb banjir bandang sumbar bencana 20 tahunan https tcok2hbwerbqr,1790239475634958612,0,,,in,Jakarta,0,0,0,https://twitter.com/ntvnewsid/status/1790239475634958612,1758030653344657408,ntvnewsid
Tue May 14 04:33:27 +0000 2024,1.0,neutral,"['pertamina', 'pasti', 'sedia', 'pasok', 'energi', 'di', 'wilayah', 'dampak', 'bencana', 'banjir', 'bandang', 'sumbar', 'httpstcoxcoh70e4hx', 'energizingyou', 'httpstcow938rsp8ou']",pertamina pastikan ketersediaan pasokan energi di wilayah terdampak bencana banjir bandang sumbar https tcoxcoh70e4hx energizingyou https tcow938rsp8ou,1790238973828465006,0,https://pbs.twimg.com/media/GNg000VbEAAExzg.png,,in,Jakarta,0,0,0,https://twitter.com/InfoJktCom/status/1790238973828465006,741173384,InfoJktCom
Tue May 14 04:26:37 +0000 2024,1.0,neutral,"['27', 'warga', 'sumbar', 'masih', 'hilang', 'pascabencana', 'banjir', 'bandang', 'kini', 'dalam', 'cari', 'httpstcon4kfagojwe']",27 warga sumbar masih hilang pascabencana banjir bandang kini dalam pencarian https tcon4kfagojwe,1790237257443819549,5,,,in,Indonesia,0,0,0,https://twitter.com/KompasTV/status/1790237257443819549,71436318,KompasTV
Tue May 14 04:20:15 +0000 2024,1.0,neutral,"['banjir', 'bandang', 'sumbar', 'httpstcobvbg89ffua']",banjir bandang sumbar https tcobvbg89ffua,1790235653478973615,1,https://pbs.twimg.com/ext_tw_video_thumb/1790235505382338562/pu/img/gAXVyvQ8_gMh5_bW.jpg,,in,"London, England",0,0,0,https://twitter.com/seringham62617/status/1790235653478973615,1736274642153918464,seringham62617
Tue May 14 04:09:09 +0000 2024,-1.0,neutral,"['bomboloner', 'whyrsnd', 'ga', 'ada', 'dosa', 'saya', 'karena', 'saya', 'ga', 'sama', 'jenis', 'tuh', 'liat', 'banjir', 'bandang', 'lahar', 'dingin', 'di', 'sumbar', 'akibat', 'ulah', 'anda', 'kaum', 'anda', 'yg', 'normalisasi', 'sama', 'jenis', 'orang', 'ga', 'salah', 'apa2', 'kena', 'dampak', 'karena', 'tuhan', 'murka', 'dengan', 'kelakiluan', 'kaum', 'anda']",bomboloner whyrsnd ga ada dosa saya karena saya ga sesama jenis tuh liat banjir bandang lahar dingin di sumbar akibat ulah anda kaum anda yg menormalisasi sesama jenis orang ga salah apa2 terkena dampaknya karena tuhan murka dengan kelakiluan kaum anda,1790232861318246776,0,,bomboloner,in,,0,0,0,https://twitter.com/moch_ratar/status/1790232861318246776,1470290505137221632,moch_ratar
Tue May 14 04:04:48 +0000 2024,1.0,neutral,"['ketua', 'pks', 'sumbar', 'instruksi', 'pandu', 'dan', 'kader', 'bantu', 'masyarakat', 'dampak', 'banjir', 'bencana', 'banjir', 'bandang', 'yang', 'jadi', 'di', 'sumatera', 'barat', 'sumbar', 'pada', 'sabtu', '1152024', 'httpstcol99hth2iwl']",ketua pks sumbar instruksikan kepanduan dan kader bantu masyarakat terdampak banjir bencana banjir bandang yang terjadi di sumatera barat sumbar pada sabtu 1152024 https tcol99hth2iwl,1790231767628276055,0,https://pbs.twimg.com/media/GNguRVcakAA_D_s.jpg,,in,"Binjai, Sumatera Utara",0,0,0,https://twitter.com/PKSKotaBinjai/status/1790231767628276055,1312945321,PKSKotaBinjai
Tue May 14 03:54:20 +0000 2024,1.0,neutral,"['banjir', 'bandang', 'campur', 'material', 'laharmenerjangsejumlah', 'camat', 'di', 'kabupaten', 'agam', 'tanah', 'datar', 'dan', 'padang', 'panjang', 'sumbar', 'pada', 'sabtu', '115', 'malam', 'banjirlahar', 'sumbar', 'nusantaratv', 'nusantaratvsahabatkita', 'ntv', 'httpstcojrvo3zel7w']",banjir bandang bercampur material laharmenerjangsejumlah kecamatan di kabupaten agam tanah datar dan padang panjang sumbar pada sabtu 115 malam banjirlahar sumbar nusantaratv nusantaratvsahabatkita ntv https tcojrvo3zel7w,1790229131000762840,1,https://pbs.twimg.com/ext_tw_video_thumb/1790228902180499456/pu/img/oyI9HhgSmAAV8teY.jpg,,in,Jakarta Pusat,0,1,0,https://twitter.com/officialntv_/status/1790229131000762840,1465529152136568833,officialntv_
Tue May 14 03:38:39 +0000 2024,1.0,neutral,"['sedih', 'kondisi', 'sumbar', 'akibat', 'musibah', 'banjir', 'bandang', 'lahar', 'dingin', 'httpstcowq4qebenly']",sedih kondisi sumbar akibat musibah banjir bandang lahar dingin https tcowq4qebenly,1790225184034853341,6,https://pbs.twimg.com/ext_tw_video_thumb/1790224998021644289/pu/img/VgdOuXMshKeV32GU.jpg,,in,Melbourne - Australia,0,0,1,https://twitter.com/Love09July07/status/1790225184034853341,1594524306372894720,Love09July07
Tue May 14 03:38:34 +0000 2024,1.0,neutral,"['ltpgtbanjir', 'bandang', 'sumbar', 'sebab', 'puluh', 'orang', 'hilang', 'dan', 'belum', 'temu', 'hingga', 'iniltpgt', 'httpstcowrlaeyx1r3']",lt p gt banjir bandang sumbar menyebabkan puluhan orang hilang dan belum ditemukan hingga ini lt p gt https tcowrlaeyx1r3,1790225163168182519,0,,,in,"Jakarta Capital Region, Indone",0,0,0,https://twitter.com/validnewsid/status/1790225163168182519,874558344593195008,validnewsid
Tue May 14 03:25:36 +0000 2024,-1.0,neutral,"['imaisback', 'dih', 'anjir', 'cacat', 'logika', 'banget', 'dah', 'orang', 'ginian', 'yang', 'makan', 'kultus', 'individu', 'banjir', 'bandang', 'di', 'sumbar', 'harus', 'cari', 'sebab', 'ilmiah', 'bukan', 'gara', 'durhaka', 'dst']",imaisback dih anjir cacat logika banget dah orang ginian yang makan kultus individu banjir bandang di sumbar harusnya dicari penyebab ilmiahnya bukan gara durhaka dst,1790221899278295090,0,,ImaIsBack,in,,0,0,0,https://twitter.com/oldnicktr/status/1790221899278295090,1221206800579457024,oldnicktr
Tue May 14 03:21:41 +0000 2024,1.0,neutral,"['polri', 'lalu', 'jajar', 'polda', 'sumatera', 'barat', 'sumbar', 'laksana', 'aksi', 'tanggap', 'bencana', 'banjir', 'bandang', 'di', 'wilayah', 'kabupaten', 'tanah', 'datar', 'dan', 'kabupaten', 'agam', 'sumbar', 'banjir', 'bandang', 'juga', 'akibat', 'jumlah', 'rumah', 'warga', 'timbun', 'material', 'tanah', 'dan', 'putus', 'beberapa', 'akses', 'jalan', 'httpstcor4yznfwqgv']",polri melalui jajaran polda sumatera barat sumbar melaksanakan aksi tanggap bencana banjir bandang di wilayah kabupaten tanah datar dan kabupaten agam sumbar banjir bandang juga mengakibatkan sejumlah rumah warga tertimbun material tanah dan terputusnya beberapa akses jalan https tcor4yznfwqgv,1790220913650315734,0,https://pbs.twimg.com/ext_tw_video_thumb/1790220871380221952/pu/img/CcyYQJ1Vf4LWC1NB.jpg,,in,,0,0,0,https://twitter.com/sikum_k25241/status/1790220913650315734,1750064822455296000,sikum_k25241
Tue May 14 03:17:05 +0000 2024,1.0,evacuation route,"['bnpb', 'sampai', 'kembang', 'banjir', 'bandang', 'dan', 'tanah', 'longsor', 'di', 'sumbar', 'banyak', '50', 'orang', 'tinggal', 'dunia', 'sementara', '27', 'warga', 'masih', 'hilang', 'httpstcopspj1bnln1']",bnpb menyampaikan perkembangan banjir bandang dan tanah longsor di sumbar sebanyak 50 orang meninggal dunia sementara 27 warga masih hilang https tcopspj1bnln1,1790219759491207415,0,,,in,Jakarta,0,0,1,https://twitter.com/kompascom/status/1790219759491207415,23343960,kompascom
Tue May 14 03:16:11 +0000 2024,1.0,neutral,"['full', 'walhi', 'hingga', 'bnpb', 'buka', 'suara', 'kritik', 'sebab', 'bencana', 'banjir', 'bandang', 'di', 'sumbar', 'httpstcos9hymhwcti']",full walhi hingga bnpb buka suara kritik penyebab bencana banjir bandang di sumbar https tcos9hymhwcti,1790219529249018289,0,,,in,Indonesia,0,0,0,https://twitter.com/KompasTV/status/1790219529249018289,71436318,KompasTV
Tue May 14 03:14:40 +0000 2024,1.0,neutral,"['breaking', 'news', 'banjir', 'bandang', 'terjang', 'sumbar', 'selasa', '14', 'mei', '2024', 'httpstco6kktdbhepm']",breaking news banjir bandang terjang sumbar selasa 14 mei 2024 https tco6kktdbhepm,1790219150155297120,1,,,in,"Jakarta Pusat, DKI Jakarta",0,0,0,https://twitter.com/SINDOnews/status/1790219150155297120,231355136,SINDOnews
Tue May 14 03:10:00 +0000 2024,1.0,neutral,"['bantu', '3', '2', 'miliar', 'akan', 'salur', 'untuk', 'korban', 'bencana', 'banjir', 'bandang', 'di', 'sumbar', 'httpstco8up1m23uwh']",bantuan 3 2 miliar akan disalurkan untuk korban bencana banjir bandang di sumbar https tco8up1m23uwh,1790217976668471671,0,,,in,"Kota Padang, Sumatera Barat",0,0,0,https://twitter.com/Sumbarkita_id/status/1790217976668471671,1289854699089272833,Sumbarkita_id
Tue May 14 03:09:25 +0000 2024,1.0,neutral,"['data', 'baru', 'korban', 'banjir', 'bandang', 'sumbar', '43', 'orang', 'tewas', '15', 'warga', 'belum', 'temu', 'httpstcozwpffdt43g', 'httpstcodcs5cam362']",data terbaru korban banjir bandang sumbar 43 orang tewas 15 warga belum ditemukan https tcozwpffdt43g https tcodcs5cam362,1790217829767372805,0,https://pbs.twimg.com/media/GNghn_tbQAE9vI8.png,,in,,0,0,0,https://twitter.com/CenterPidii/status/1790217829767372805,1729701369249169408,CenterPidii
Tue May 14 03:00:51 +0000 2024,1.0,neutral,"['breaking', 'news', 'banjir', 'bandang', 'terjang', 'sumbar', '46', 'tewas', 'selasa', '14', 'mei', '2024', 'httpstcosdfskymqnh']",breaking news banjir bandang terjang sumbar 46 tewas selasa 14 mei 2024 https tcosdfskymqnh,1790215670875214134,0,,,in,iNews Tower,0,0,0,https://twitter.com/officialinews_/status/1790215670875214134,132078023,officialinews_
Tue May 14 03:00:17 +0000 2024,1.0,neutral,"['polri', 'lalu', 'polda', 'sumbar', 'laksana', 'bersih', 'puingpuing', 'pascabanjir', 'bandang', 'di', 'kabupaten', 'tanah', 'datar', 'sumatera', 'barat', 'tahu', 'bencana', 'banjir', 'bandang', 'ini', 'sebab', 'rusa', 'parah', 'masuk', 'rumah', 'warga', 'yang', 'rendam', 'lumpur', 'httpstcowfvkl2o1ie']",polri melalui polda sumbar melaksanakan pembersihan puingpuing pascabanjir bandang di kabupaten tanah datar sumatera barat diketahui bencana banjir bandang ini menyebabkan kerusakan parah termasuk rumah warga yang terendam lumpur https tcowfvkl2o1ie,1790215528369549726,0,https://pbs.twimg.com/media/GNgfiKda0AAeaQA.jpg,,in,,0,0,0,https://twitter.com/sikum_k25241/status/1790215528369549726,1750064822455296000,sikum_k25241
Tue May 14 02:52:01 +0000 2024,1.0,neutral,"['mahyeldi', 'ajak', 'warga', 'sumbar', 'shalat', 'gaib', 'untuk', 'korban', 'banjir', 'bandang', 'di', 'agam', 'dan', 'tanah', 'datar', 'httpstconv1dmilprj', 'prayforsumbar']",mahyeldi ajak warga sumbar shalat gaib untuk korban banjir bandang di agam dan tanah datar https tconv1dmilprj prayforsumbar,1790213448263164387,1,,,in,Indonesia,0,0,1,https://twitter.com/IDNNews_id/status/1790213448263164387,3250224038,IDNNews_id
Tue May 14 02:45:43 +0000 2024,1.0,neutral,"['video', 'korban', 'tinggal', 'banjir', 'bandang', 'sumbar', 'jadi', '44', 'orang', 'httpstcopingqemi1g']",video korban meninggal banjir bandang sumbar jadi 44 orang https tcopingqemi1g,1790211863936160248,0,,,in,Jakarta Capital Region,0,0,0,https://twitter.com/cnbcindonesia/status/1790211863936160248,847372542830444544,cnbcindonesia
Tue May 14 02:37:56 +0000 2024,1.0,neutral,"['ada', 'hubung', 'tanah', 'longsor', 'banjir', 'bandang', 'bukit', 'runtuh', 'jalan', 'retak', 'ambles', 'krowak', 'dengan', 'rusa', 'lingkungankarena', 'explore', 'sda', 'yg', 'lewat', 'batas', 'dari', 'hulu', 'hingga', 'hilir', 'tanpa', 'amdal', 'yg', 'kwalifait', 'coba', 'di', 'investigasi', 'amp', 'inventarisir', 'contoh', 'di', 'sumbar']",adakah hubungannya tanah longsor banjir bandang bukit runtuh jalan retak ambles krowak dengan kerusakan lingkungan karena explore sda yg kelewatan batas dari hulu hingga hilir tanpa amdal yg kwalifait cobalah di investigasi amp inventarisir contohnya di sumbar,1790209905116512538,0,,,in,,0,0,0,https://twitter.com/YawanMul23956/status/1790209905116512538,1727617761701244928,YawanMul23956
Tue May 14 01:16:36 +0000 2024,1.0,neutral,"['update', 'banjir', 'bandang', 'sumbar', '50', 'tinggal', '27', 'hilang', 'httpstcoplhat5wriy']",update banjir bandang sumbar 50 meninggal 27 hilang https tcoplhat5wriy,1790189434992046168,21,,,in,,4,5,7,https://twitter.com/CNNIndonesia/status/1790189434992046168,17128975,CNNIndonesia
Tue May 14 01:03:18 +0000 2024,1.0,neutral,"['banjir', 'bandang', 'dan', 'lahar', 'di', 'sumbar', 'salah', 'satu', 'sebab', 'adalah', 'kurang', 'perhati', 'pada', 'lestari', 'lingkung', 'akibat', 'buka', 'area', 'untuk', 'kebun', 'kelapa', 'sawit', 'dan', 'tambang', 'emas', 'amdal', 'harus', 'jadi', 'standar', 'agar', 'tidak', 'ulang', 'jadi', 'lapindo', 'httpstcokkkwd6yzhe']",banjir bandang dan lahar di sumbar salah satu penyebabnya adalah kurangnya perhatian pada kelestarian lingkungan akibat pembukaan area untuk perkebunan kelapa sawit dan penambangan emas amdal harus dijadikan standar agar tidak terulang kejadian lapindo https tcokkkwd6yzhe,1790186088436486293,2,,,in,"di atas bumi, di bawah langit",1,0,0,https://twitter.com/denyspam/status/1790186088436486293,96872350,denyspam
Tue May 14 00:59:34 +0000 2024,1.0,neutral,"['warga', 'cerita', 'detikdetik', 'banjir', 'bandang', 'di', 'sumbar', 'banjir', 'itu', 'bawa', 'pohon', 'setinggi', '8', 'meter', 'dan', 'batu', 'besar', 'mobil', 'httpstcoscer22jogw']",warga menceritakan detikdetik banjir bandang di sumbar banjir itu membawa pohon setinggi 8 meter dan batu sebesar mobil https tcoscer22jogw,1790185150330110452,3,,,in,Jakarta,0,1,0,https://twitter.com/kompascom/status/1790185150330110452,23343960,kompascom
Tue May 14 00:39:02 +0000 2024,1.0,neutral,"['ahy', 'instruksi', 'kader', 'turun', 'bantu', 'masyarakat', 'dampak', 'banjir', 'bandang', 'di', 'sumbar', 'kedai', 'pena', 'httpstco9qvnbuql2b']",ahy instruksikan kader turun bantu masyarakat terdampak banjir bandang di sumbar kedai pena https tco9qvnbuql2b,1790179982662312419,8,,,in,"Jakarta, Indonesia",0,2,4,https://twitter.com/YanHarahap/status/1790179982662312419,61465123,YanHarahap
Tue May 14 00:38:52 +0000 2024,1.0,neutral,"['14', 'hari', 'waktu', 'tanggap', 'darurat', 'bencana', 'banjir', 'bandang', 'lahar', 'dingin', 'di', 'sumbar', 'httpstcornyfi2mvvf']",14 hari waktu tanggap darurat bencana banjir bandang lahar dingin di sumbar https tcornyfi2mvvf,1790179940991910128,0,,,in,Padang,0,0,0,https://twitter.com/CelahSumbar/status/1790179940991910128,1655524487646048256,CelahSumbar
Tue May 14 00:04:07 +0000 2024,1.0,neutral,"['50', 'korban', 'banjir', 'bandang', 'dan', 'longsor', 'di', 'sumbar', 'temu', '14', 'lain', 'masih', 'hilang', 'httpstco1oz9me8bqz', 'httpstcoecvlex2mag']",50 korban banjir bandang dan longsor di sumbar ditemukan 14 lainnya masih hilang https tco1oz9me8bqz https tcoecvlex2mag,1790171194014261644,0,https://pbs.twimg.com/media/GNf3NtTasAAVe_d.jpg,,in,Indonesia,0,0,0,https://twitter.com/StoreIDFashion/status/1790171194014261644,940469227500199936,StoreIDFashion
Tue May 14 00:01:06 +0000 2024,1.0,neutral,"['celaka', 'maut', 'di', 'subang', 'dan', 'banjir', 'bandang', 'di', 'sumbar', 'meneweskan', '50', 'lebih', 'korban', 'httpstco3hzqookxyv', 'tempometro']",kecelakaan maut di subang dan banjir bandang di sumbar meneweskan 50 lebih korban https tco3hzqookxyv tempometro,1790170437474980022,1,,,in,Indonesia,0,0,1,https://twitter.com/tempodotco/status/1790170437474980022,18129942,tempodotco
